Question,Answer
Who is my most common visitor?,Your most common visitors are Females.
How many male visitors do I have?,You have 4 male visitors.
How many female visitors do I have?,You have 52 female visitors.
How many visitors wear hijabs?,32 visitors wear hijabs.
How many child visitors do I have?,You have 1 child visitors.
How many visitors wear niqabs?,5 visitors wear niqabs.
How many visitors have bags?,6 visitors have bags.
Which cluster has the most visitors?,Cluster 36 has the most visitors.
How many visitors are in cluster 35?,Cluster 35 has 3 visitors.
How many visitors are in cluster 36?,Cluster 36 has 7 visitors.
How many visitors are in cluster 37?,Cluster 37 has 3 visitors.
How many visitors are in cluster 38?,Cluster 38 has 5 visitors.
How many visitors are in cluster 39?,Cluster 39 has 2 visitors.
How many visitors are in cluster 40?,Cluster 40 has 4 visitors.
How many visitors are in cluster 41?,Cluster 41 has 4 visitors.
How many visitors are in cluster 42?,Cluster 42 has 3 visitors.
How many visitors are in cluster 43?,Cluster 43 has 3 visitors.
How many visitors are in cluster 44?,Cluster 44 has 4 visitors.
How many visitors are in cluster 45?,Cluster 45 has 2 visitors.
How many visitors are in cluster 46?,Cluster 46 has 2 visitors.
How many visitors are in cluster 47?,Cluster 47 has 2 visitors.
How many visitors are in cluster 48?,Cluster 48 has 4 visitors.
How many visitors are in cluster 49?,Cluster 49 has 5 visitors.
How many visitors are in cluster 50?,Cluster 50 has 3 visitors.
How many visitors are in cluster 51?,Cluster 51 has 1 visitors.
Which cluster has the fewest visitors?,Cluster 51 has the fewest visitors.
What is the total number of visitors?,The total number of visitors is 57.
What is the percentage of female visitors?,The percentage of female visitors is 91.23%.
What is the percentage of male visitors?,The percentage of male visitors is 7.02%.
How many visitors arrived between 14:30 and 14:40?,0 visitors arrived between 14:30 and 14:40.
How many visitors arrived between 14:40 and 14:50?,0 visitors arrived between 14:40 and 14:50.
How many visitors arrived between 14:50 and 15:00?,0 visitors arrived between 14:50 and 15:00.
How many visitors arrived between 15:00 and 15:10?,0 visitors arrived between 15:00 and 15:10.
How many visitors arrived between 15:10 and 15:20?,0 visitors arrived between 15:10 and 15:20.
How many visitors arrived after 15:20?,57 visitors arrived after 15:20.
How many visitors with hijabs are in cluster 35?,2 visitors with hijabs are in cluster 35.
How many visitors with niqabs are in cluster 35?,1 visitors with niqabs are in cluster 35.
How many visitors with bags are in cluster 35?,0 visitors with bags are in cluster 35.
How many child visitors are in cluster 35?,0 child visitors are in cluster 35.
How many male visitors are in cluster 35?,0 male visitors are in cluster 35.
How many female visitors are in cluster 35?,3 female visitors are in cluster 35.
How many female visitors with hijabs are there?,32 female visitors with hijabs are there.
How many female visitors with niqabs are there?,5 female visitors with niqabs are there.
How many female visitors with bags are there?,6 female visitors with bags are there.
How many female child visitors are there?,0 female child visitors are there.
How many male visitors with hijabs are there?,0 male visitors with hijabs are there.
How many male visitors with niqabs are there?,0 male visitors with niqabs are there.
How many male visitors with bags are there?,0 male visitors with bags are there.
How many male child visitors are there?,0 male child visitors are there.

